Folio,Cliente ,NumeroParte,Nombre ,PROYECTO,LARGO,ANCHO,ALTO,ECT,CORRUGADO,CODIGO,documento
2150001,ABB,265A5213P362,CAJA NORMAL,-,110.9,38,19.3,32,Sencillo,ESP-ABB-001,
2150002,ABB,265A5213P360 ,CAJA NORMAL,-,77.9,38,16.5,32,Sencillo,ESP-ABB-002,
2150003,ABB,252B1748P38 ,CAJA NORMAL,-,130.8,63.2,32.7,32,Sencillo,ESP-ABB-003,
2150004,ABB,252B1748P39 ,CAJA NORMAL,-,128.2,62.2,36.2,32,Sencillo,ESP-ABB-004,
2150005,ABB,2100362482G1,CAJA TROQUELADA,-,19.7,11.6,26.6,26,Sencillo,ESP-ABB-005,
2150006,ABB,2100362482G2 ,CAJA TROQUELADA,-,15.4,10.6,17.6,26,Sencillo,ESP-ABB-006,
2150007,ABB,252B1881P100 ,CAJA NORMAL,-,107,40.5,21,42,Doble,ESP-ABB-007,
2150008,ABB,252B1881P112 ,CAJA NORMAL,-,86.5,45.8,21,42,Doble,ESP-ABB-008,
2150009,ABB,252B1881P128,CAJA NORMAL,-,89.5,44,22.8,32,Sencillo,ESP-ABB-009,
2150010,ABB,252B1881P129B,CAJA NORMAL,-,75,44.5,22,32,Sencillo,ESP-ABB-010,
2150011,ABB,252B1881P38 ,CAJA NORMAL,-,130.8,63.2,32.8,42,Doble,ESP-ABB-011,
2150012,ABB,252B1881P39,CAJA NORMAL,-,128.2,61.6,36.2,42,Doble,ESP-ABB-012,
2150013,ABB,265A5213P136 ,CAJA NORMAL,-,44,41.5,15.5,32,Doble,ESP-ABB-013,
2150014,ABB,265A5213P149 ,CAJA NORMAL,-,69.5,38,18.5,32,Doble,ESP-ABB-014,
2150015,ABB,265A5213P17 ,CAJA NORMAL,-,77,23.5,13.5,26,Sencillo,ESP-ABB-015,
2150016,ABB,265A5213P241,CAJA NORMAL,-,34,19.5,11,32,Doble,ESP-ABB-016,
2150017,ABB,265A5213P252 ,CAJA NORMAL,-,67,37,15,32,Doble,ESP-ABB-017,
2150018,ABB,265A5213P264,CAJA NORMAL,-,73.5,37,15.5,32,Sencillo,ESP-ABB-018,
2150019,ABB,265A5213P333,CAJA NORMAL,-,84.3,41,18,42,Doble,ESP-ABB-019,
2150020,ABB,265A5213P360,CAJA NORMAL,-,78,38,16.5,42,Doble,ESP-ABB-020,
2150021,ABB,265A5213P362,CAJA NORMAL,-,111,38,19.4,42,Doble,ESP-ABB-021,
2150022,ABB,10057284P3 ,CAJA TROQUELADA,-,13,8.7,6.3,32,Sencillo,ESP-ABB-022,
2150023,ABB,265A5099-P67,CAJA TROQUELADA,-,26.5,4.5,4.8,32,Sencillo,ESP-ABB-023,
2150024,ABB,265A5099-P68,CAJA TROQUELADA,-,26.5,4.7,4.8,32,Sencillo,ESP-ABB-024,
2150025,ABB,265A5099-P69,CAJA TROQUELADA,-,30,12,6,32,Sencillo,ESP-ABB-025,
2150026,ABB,D12822440 ,INSERTO TRQ,-,16.5,9,8.5,32,Sencillo,ESP-ABB-026,
2150027,ABB,265A5213P9 ,CAJA TROQUELADA,-,16.5,9,8.5,32,Sencillo,ESP-ABB-027,
2150028,ABB,265A5213P412,CAJA TROQUELADA,-,40.5,12,9,42,Sencillo,ESP-ABB-028,
11214001,ABC,CAMA DE AIRE,TAPA TELESCOPICA,CAMA DE AIRE,147,81,7.5,32,Sencillo,ESP-ACB-001,https://drive.google.com/file/d/1oMjCmPrHuR4DRU9lNcQtV4k1Jxt_VHIp/view?usp=sharing
11220002,ABC,CAMA DE AIRE,REJILLA 24 CAV,CAMA DE AIRE,146,7,0,42,Doble,ESP-ACB-002,https://drive.google.com/file/d/1Ja6FiBUG1k6XDffF4HUsvS1zgUS_BFPS/view?usp=sharing
11221003,ABC,CAMA DE AIRE,REJILLA 24 CAV,CAMA DE AIRE,80,7,0,42,Doble,ESP-ACB-003,https://drive.google.com/file/d/16HzbT2-uuP_AfyQwv5eYIel6iaJaQQSI/view?usp=sharing
11211004,ABC,WOM-FRONTAL,CAJA CON FONDO,WOM-FRONTAL,146,123,65,42,Doble,ESP-ACB-004,https://drive.google.com/file/d/16aiOoAe_q4QYfP48Qv6Z_mm1FiepAhAs/view?usp=sharing
11214005,ABC,WOM-FRONTAL,TAPA TELESCOPICA ,WOM-FRONTAL,147,124,10,42,Doble,ESP-ACB-005,https://drive.google.com/file/d/11PWRjdm1bIqAgds5DfomTRRWD9GGMolw/view?usp=sharing
11220006,ABC,WOM-FRONTAL,REJILLA 16 CAV,WOM-FRONTAL,146,63.5,0,32,Sencillo,ESP-ACB-006,https://drive.google.com/file/d/1apmbFg8vKRbH5n8R3EpGCTDjp-7a1l0d/view?usp=sharing
11221007,ABC,WOM-FRONTAL,REJILLA 16 CAV,WOM-FRONTAL,122,63.5,0,32,Sencillo,ESP-ACB-007,https://drive.google.com/file/d/1NgEiGyub9ZS1JnM5R0vYznG83N3gxacv/view?usp=sharing
11222008,ABC,WOM-FRONTAL,REJILLA 16 CAV,WOM-FRONTAL,122,43,0,32,Sencillo,ESP-ACB-008,https://drive.google.com/file/d/1fk_ljnOoBb2lFqTUq_Vq8_BmTgJGw3-o/view?usp=sharing
11223009,ABC,WOM-FRONTAL,REJILLA 16 CAV,WOM-FRONTAL,60,63.5,0,32,Sencillo,ESP-ACB-009,https://drive.google.com/file/d/1v2pe8gLNtAMeJb3EG5sw_Uq3jEna-Iu8/view?usp=sharing
11224010,ABC,WOM-FRONTAL,REJILLA 16 CAV,WOM-FRONTAL,122,56,0,32,Sencillo,ESP-ACB-010,https://drive.google.com/file/d/1c1iQxz_04DG3uR3Xv6Kvdl_Jr5_9YhLS/view?usp=sharing
11211011,ABC,WOM-REAR,CAJA CON FONDO,WOM-REAR,120.5,113,66,42,Doble,ESP-ACB-011,https://drive.google.com/file/d/1LLTZCVUOIAc63eLxfZIE3ADCUDOu-2nD/view?usp=sharing
11214012,ABC,WOM-REAR,TAPA TELESCOPICA,WOM-REAR,121.5,114,10,42,Doble,ESP-ACB-012,https://drive.google.com/file/d/1nY6nLMdYce_e7iHaIfbsoLXQfvD8AQZs/view?usp=sharing
11220013,ABC,WOM-REAR,REJILLA 16 CAV,WOM-REAR,119.5,65,0,32,Sencillo,ESP-ACB-013,https://drive.google.com/file/d/1QOU-G3X-53ieHdNcrKP4Ub7Nmk1vSKmL/view?usp=sharing
11221014,ABC,WOM-REAR,REJILLA 16 CAV,WOM-REAR,112,65,0,32,Sencillo,ESP-ACB-014,https://drive.google.com/file/d/1c-OEeNXamxQJJVMnGANHf1JQbbJgBDKh/view?usp=sharing
11222015,ABC,WOM-REAR,REJILLA 16 CAV,WOM-REAR,112,44.5,0,32,Sencillo,ESP-ACB-015,https://drive.google.com/file/d/1rkesT445zzKOpV6J6FHQ5ZadhleehZ0K/view?usp=sharing
11223016,ABC,WOM-REAR,REJILLA 16 CAV,WOM-REAR,59.5,65,0,32,Sencillo,ESP-ACB-016,https://drive.google.com/file/d/10FgmWF5kKxsGyBfXtj_6B-w1aBZjGVOX/view?usp=sharing
